milk_id,scenario,timestamp,hour_of_day,day_of_week,is_weekend,storage_hours,storage_phase,current_temperature_c,avg_temperature_c,min_temperature_c,max_temperature_c,temperature_std_c,temp_last_1h,temp_last_3h,temp_last_6h,temp_volatility,time_above_6c_hours,time_above_8c_hours,time_in_danger_zone_pct,num_temperature_excursions,longest_excursion_hours,cumulative_temperature_exposure,temperature_trend,degradation_rate_per_hour,remaining_shelf_life_hours,is_safe,safety_label
MILK_00024,ideal_cold,2026-02-19T15:00:00,15,3,0,196,mid,4.17,4.02,2.69,5.11,0.42,4.17,3.58,3.84,0.4413,0,0,0.0,0,0,792.26,-0.116,1.0085,138.33,1,SAFE
MILK_00025,chronic_mild_abuse,2026-03-03T20:00:00,20,1,0,191,late,5.22,6.96,4.9,9.46,0.8,5.22,6.54,6.58,0.9993,168,20,10.47,16,3,1336.89,-0.2146,1.3974,69.1,0,UNSAFE
MILK_00026,chronic_mild_abuse,2026-07-05T23:00:00,23,6,1,146,mid,6.74,6.96,5.02,9.41,0.8,6.74,6.28,6.69,0.9831,128,13,8.9,11,2,1023.34,-0.4284,1.3994,131.69,1,SAFE
MILK_00027,ideal_cold,2026-02-03T00:00:00,0,1,0,341,late,3.21,3.97,3.1,5.17,0.38,3.21,3.78,3.92,0.3951,0,0,0.0,0,0,1358.49,-0.2108,1.0008,0.0,1,SAFE
MILK_00028,moderate_abuse,2026-02-27T16:00:00,16,4,0,335,late,10.57,9.94,4.69,14.63,1.57,10.57,9.65,9.78,0.9032,334,298,88.96,35,29,3341.26,0.2294,1.9559,0.0,0,UNSAFE
MILK_00029,short_excursion,2026-03-20T04:00:00,4,4,0,383,late,4.21,4.14,2.55,15.94,1.32,4.21,3.93,3.96,0.5627,6,6,1.57,1,6,1590.43,0.0795,1.0333,0.0,1,SAFE
MILK_00030,moderate_abuse,2026-06-20T02:00:00,2,5,1,148,late,9.65,9.92,5.67,13.59,1.53,9.65,10.33,9.99,1.1932,148,134,90.54,14,36,1478.3,-0.1886,1.9571,46.34,0,UNSAFE
MILK_00031,ideal_cold,2026-03-11T04:00:00,4,2,0,295,late,4.18,3.97,2.92,5.11,0.41,4.18,3.91,4.04,0.38,0,0,0.0,0,0,1175.07,-0.1189,1.0011,40.67,1,SAFE
MILK_00032,good_cold,2026-01-22T15:00:00,15,3,0,176,mid,7.2,4.46,1.63,7.47,1.11,7.2,5.84,4.94,1.5008,14,0,0.0,0,0,790.13,1.079,1.0661,148.36,1,SAFE
MILK_00033,long_excursion,2026-03-23T14:00:00,14,0,0,26,fresh,4.28,10.06,2.95,23.02,6.91,4.28,4.25,4.25,0.5485,13,13,50.0,1,13,271.53,-0.0329,2.7108,265.52,1,SAFE
MILK_00034,good_cold,2026-05-31T20:00:00,20,6,1,118,mid,4.2,4.38,0.5,7.45,1.18,4.2,4.75,4.23,0.989,10,0,0.0,0,0,521.31,0.3139,1.0604,210.87,1,SAFE
MILK_00035,good_cold,2026-03-03T23:00:00,23,1,0,171,mid,3.32,4.57,1.66,7.75,1.29,3.32,3.3,3.41,1.1622,22,0,0.0,0,0,785.76,0.2897,1.0813,151.09,1,SAFE
MILK_00036,variable_chain,2026-04-23T21:00:00,21,3,0,265,late,6.44,5.71,0.5,11.77,2.53,6.44,6.94,6.35,2.6105,110,52,19.62,43,3,1520.0,-0.656,1.26,2.09,0,UNSAFE
MILK_00037,moderate_abuse,2026-02-16T12:00:00,12,0,0,244,late,11.27,9.88,4.47,14.19,1.57,11.27,11.42,10.18,1.9474,243,220,90.16,24,21,2419.69,0.9335,1.9436,0.0,0,UNSAFE
MILK_00038,severe_abuse,2026-03-09T08:00:00,8,0,0,81,late,10.93,13.78,8.83,18.49,2.43,10.93,13.57,13.38,1.9209,82,82,101.23,1,82,1129.76,-0.2528,3.07,87.33,0,UNSAFE
MILK_00039,chronic_mild_abuse,2026-05-30T17:00:00,17,5,1,297,late,6.96,7.09,4.72,9.29,0.79,6.96,7.07,7.09,0.3817,273,41,13.8,34,3,2114.06,-0.1599,1.415,0.0,0,UNSAFE
MILK_00040,chronic_mild_abuse,2026-06-15T21:00:00,21,0,0,392,late,7.26,7.0,4.51,9.72,0.83,7.26,7.25,7.03,0.6429,345,42,10.71,40,2,2750.88,-0.0005,1.3997,0.0,0,UNSAFE
MILK_00041,short_excursion,2026-04-26T07:00:00,7,6,1,308,late,3.56,4.16,2.75,15.96,1.27,3.56,4.16,4.3,0.4254,4,4,1.3,1,4,1285.77,-0.0933,1.0355,17.08,1,SAFE
MILK_00042,ideal_cold,2026-05-18T08:00:00,8,0,0,270,late,4.08,3.99,2.74,5.26,0.41,4.08,3.91,4.0,0.2953,0,0,0.0,0,0,1081.18,-0.0519,1.0036,65.03,1,SAFE
MILK_00043,good_cold,2026-01-29T15:00:00,15,3,0,396,late,6.13,4.51,1.47,7.82,1.16,6.13,4.72,4.85,1.2711,44,0,0.0,0,0,1791.41,-0.0109,1.0692,0.0,0,UNSAFE
MILK_00044,ideal_cold,2026-06-13T21:00:00,21,5,1,88,fresh,3.8,3.99,3.21,4.84,0.33,3.8,3.8,3.96,0.3334,0,0,0.0,0,0,355.49,-0.1962,1.0114,247.0,1,SAFE
MILK_00045,good_cold,2026-05-04T17:00:00,17,0,0,358,late,3.73,4.47,0.5,7.54,1.17,3.73,4.46,4.32,0.7493,33,0,0.0,0,0,1604.36,-0.1595,1.0645,0.0,1,SAFE
MILK_00046,moderate_abuse,2026-04-11T06:00:00,6,5,1,42,fresh,9.94,10.04,6.26,12.71,1.32,9.94,11.22,10.25,1.283,43,42,100.0,2,29,431.6,0.2541,2.0082,251.66,0,UNSAFE
MILK_00047,ideal_cold,2026-05-13T19:00:00,19,2,0,315,late,4.47,3.99,2.9,5.17,0.4,4.47,3.91,3.76,0.5683,0,0,0.0,0,0,1260.97,0.177,1.0031,20.03,1,SAFE
MILK_00048,short_excursion,2026-05-27T18:00:00,18,2,0,138,mid,4.06,4.61,2.83,16.23,2.58,4.06,3.67,3.94,0.3403,8,8,5.8,1,8,641.32,-0.0699,1.1417,178.45,1,SAFE
MILK_00049,ideal_cold,2026-06-02T07:00:00,7,1,0,359,late,3.21,3.99,2.88,5.12,0.39,3.21,3.74,4.02,0.4249,0,0,0.0,0,0,1436.39,-0.2857,1.0026,0.0,1,SAFE
MILK_00050,variable_chain,2026-04-12T05:00:00,5,6,1,338,late,5.05,5.53,0.5,11.91,2.31,5.05,5.39,4.5,2.538,143,47,13.91,42,3,1873.12,-0.2675,1.2252,0.0,0,UNSAFE
MILK_00051,moderate_abuse,2026-04-28T21:00:00,21,1,0,160,late,5.85,9.97,4.94,13.54,1.52,5.85,8.22,8.79,1.7524,158,147,91.88,14,21,1605.41,-0.6089,1.9657,21.48,0,UNSAFE
MILK_00052,short_excursion,2026-01-12T01:00:00,1,0,0,242,late,3.34,4.35,2.66,16.87,1.97,3.34,4.33,3.88,0.7809,8,8,3.31,1,8,1057.83,0.0398,1.0801,74.62,1,SAFE
MILK_00053,ideal_cold,2026-02-26T18:00:00,18,3,0,266,late,3.72,4.03,2.81,5.32,0.42,3.72,3.93,3.86,0.3521,0,0,0.0,0,0,1076.66,0.0963,1.0084,67.76,1,SAFE
MILK_00054,chronic_mild_abuse,2026-06-13T01:00:00,1,5,1,64,fresh,7.48,6.97,5.05,9.45,0.84,7.48,6.95,6.73,0.8634,58,8,12.5,8,1,453.37,-0.0671,1.4143,245.48,1,SAFE
MILK_00055,moderate_abuse,2026-05-24T20:00:00,20,6,1,337,late,9.8,9.99,5.51,13.87,1.47,9.8,10.08,10.01,0.7185,336,308,91.39,30,39,3378.13,-0.1714,1.963,0.0,0,UNSAFE
MILK_00056,good_cold,2026-02-14T02:00:00,2,5,1,111,mid,4.2,4.5,1.51,7.24,1.23,4.2,4.77,4.83,1.0109,12,0,0.0,0,0,504.21,0.1773,1.0758,216.58,1,SAFE
MILK_00057,severe_abuse,2026-02-28T09:00:00,9,5,1,400,late,17.46,13.93,7.92,21.42,2.38,17.46,13.28,14.94,2.9989,401,400,100.0,2,322,5585.39,-0.8615,3.088,0.0,0,UNSAFE
MILK_00058,ideal_cold,2026-01-13T12:00:00,12,1,0,281,late,4.15,3.98,2.86,5.11,0.4,4.15,4.0,4.14,0.261,0,0,0.0,0,0,1123.46,-0.1306,1.0028,54.23,1,SAFE
MILK_00059,ideal_cold,2026-05-13T07:00:00,7,2,0,175,mid,4.33,4.04,3.08,4.96,0.41,4.33,3.58,3.73,0.4612,0,0,0.0,0,0,711.74,0.0912,1.0116,158.97,1,SAFE
MILK_00060,ideal_cold,2026-04-06T04:00:00,4,0,0,67,fresh,3.91,4.09,2.39,5.12,0.45,3.91,4.4,4.28,0.3626,0,0,0.0,0,0,278.12,0.0611,1.0263,267.24,1,SAFE
MILK_00061,ideal_cold,2026-01-20T19:00:00,19,1,0,132,mid,4.26,4.04,3.13,5.37,0.41,4.26,4.13,3.96,0.4704,0,0,0.0,0,0,537.15,0.0228,1.0129,202.3,1,SAFE
MILK_00062,chronic_mild_abuse,2026-02-02T14:00:00,14,0,0,300,late,6.33,7.08,4.65,9.32,0.75,6.33,7.2,7.0,0.6518,276,29,9.67,25,3,2131.16,0.043,1.4121,0.0,0,UNSAFE
MILK_00063,long_excursion,2026-05-21T02:00:00,2,3,0,384,late,3.53,4.81,2.52,23.92,3.34,3.53,4.05,4.0,0.3375,21,21,5.47,1,21,1853.72,-0.0483,1.2286,0.0,1,SAFE
MILK_00064,good_cold,2026-02-05T23:00:00,23,3,0,74,fresh,4.07,4.34,1.7,7.36,1.2,4.07,4.99,4.21,1.0141,6,0,0.0,0,0,325.32,0.1573,1.0611,257.48,1,SAFE
MILK_00065,ideal_cold,2026-05-31T18:00:00,18,6,1,253,late,3.9,4.02,2.93,4.96,0.4,3.9,4.14,4.12,0.4105,0,0,0.0,0,0,1021.59,-0.0163,1.0074,81.14,1,SAFE
MILK_00066,short_excursion,2026-05-22T20:00:00,20,4,0,145,mid,4.51,4.52,2.85,17.31,2.48,4.51,4.06,4.17,0.3618,6,6,4.14,1,6,660.31,-0.0186,1.1288,172.32,1,SAFE
MILK_00067,long_excursion,2026-07-08T04:00:00,4,2,0,286,late,4.02,4.98,2.34,24.13,3.7,4.02,4.17,3.81,0.5569,20,20,6.99,1,20,1428.86,0.0369,1.2811,0.0,1,SAFE
MILK_00068,variable_chain,2026-06-30T18:00:00,18,1,0,214,late,1.84,5.6,0.5,10.45,2.37,1.84,3.37,4.06,1.7537,95,36,16.82,31,2,1204.4,-0.1311,1.2382,71.02,1,SAFE
MILK_00069,short_excursion,2026-05-02T01:00:00,1,5,1,201,mid,3.87,4.29,2.18,16.89,1.93,3.87,3.75,3.65,0.3036,6,6,2.99,1,6,866.86,0.1755,1.0726,120.4,1,SAFE
MILK_00070,severe_abuse,2026-03-04T18:00:00,18,2,0,136,late,13.23,14.21,7.36,21.0,2.47,13.23,10.48,11.96,2.1208,137,136,100.0,2,92,1946.55,-0.4188,3.2027,0.0,0,UNSAFE
MILK_00071,ideal_cold,2026-01-14T09:00:00,9,2,0,183,mid,4.67,4.01,3.17,5.15,0.39,4.67,4.36,4.27,0.2681,0,0,0.0,0,0,738.39,0.0946,1.0078,151.57,1,SAFE
MILK_00072,short_excursion,2026-03-12T23:00:00,23,3,0,293,late,4.16,4.12,2.35,18.51,1.52,4.16,3.91,3.91,0.1975,4,4,1.37,1,4,1211.38,0.019,1.0396,31.4,1,SAFE
MILK_00073,good_cold,2026-06-12T23:00:00,23,4,0,46,fresh,6.38,4.8,2.34,9.87,1.46,6.38,5.22,5.83,2.0668,10,1,2.17,1,1,225.5,-0.8953,1.1303,284.0,1,SAFE
MILK_00074,long_excursion,2026-01-23T08:00:00,8,4,0,127,mid,4.56,5.68,2.78,24.35,4.92,4.56,4.2,4.26,0.2505,14,14,11.02,1,14,727.45,-0.0087,1.529,141.81,1,SAFE
MILK_00075,severe_abuse,2026-03-13T17:00:00,17,4,0,273,late,8.29,14.13,7.04,20.88,2.49,8.29,12.98,13.99,3.1719,274,272,99.63,3,187,3871.94,-0.8393,3.1711,0.0,0,UNSAFE
MILK_00076,severe_abuse,2026-05-19T22:00:00,22,1,0,352,late,13.75,14.08,5.53,22.07,2.56,13.75,14.19,14.18,1.3588,351,349,99.15,5,262,4969.0,0.1714,3.1549,0.0,0,UNSAFE
MILK_00077,long_excursion,2026-02-15T21:00:00,21,6,1,286,late,4.3,4.94,2.88,23.2,3.66,4.3,4.32,3.97,0.4619,18,18,6.29,1,18,1417.46,0.096,1.272,0.0,1,SAFE
MILK_00078,ideal_cold,2026-05-08T03:00:00,3,4,0,134,mid,3.39,4.05,3.2,4.94,0.37,3.39,3.68,3.84,0.3617,0,0,0.0,0,0,547.25,-0.0551,1.0143,200.09,1,SAFE
MILK_00079,variable_chain,2026-01-29T14:00:00,14,3,0,107,mid,8.02,5.4,0.5,11.57,2.3,8.02,8.09,7.12,1.4759,42,11,10.28,9,2,583.52,0.6501,1.2154,205.95,0,UNSAFE
MILK_00080,chronic_mild_abuse,2026-05-05T22:00:00,22,1,0,347,late,5.85,7.02,4.88,9.18,0.82,5.85,7.1,7.11,0.67,316,43,12.39,40,3,2444.35,-0.2706,1.4038,0.0,0,UNSAFE
MILK_00081,chronic_mild_abuse,2026-04-26T00:00:00,0,6,1,226,late,7.55,7.12,4.9,9.31,0.8,7.55,7.73,7.27,0.6476,210,31,13.72,28,2,1615.26,0.411,1.4199,15.11,0,UNSAFE
MILK_00082,good_cold,2026-01-30T20:00:00,20,4,0,383,late,5.66,4.58,1.1,8.28,1.19,5.66,4.68,4.28,0.9657,45,1,0.26,1,1,1757.5,0.5458,1.0773,0.0,0,UNSAFE
MILK_00083,long_excursion,2026-06-29T11:00:00,11,0,0,344,late,3.69,4.41,2.33,24.95,2.47,3.69,3.9,4.18,0.3774,9,9,2.62,1,9,1521.0,-0.219,1.1226,0.0,1,SAFE
MILK_00084,ideal_cold,2026-04-13T01:00:00,1,0,0,382,late,3.73,4.0,3.03,5.35,0.4,3.73,3.46,3.77,0.3505,0,0,0.0,0,0,1531.31,-0.1422,1.0034,0.0,1,SAFE
MILK_00085,good_cold,2026-02-24T23:00:00,23,1,0,137,mid,6.12,4.36,1.64,9.23,1.16,6.12,4.85,4.87,0.9723,12,1,0.73,1,1,602.2,0.3114,1.0572,191.17,1,SAFE
MILK_00086,ideal_cold,2026-05-07T00:00:00,0,3,0,284,late,3.41,4.04,2.87,4.96,0.41,3.41,4.09,3.89,0.4826,0,0,0.0,0,0,1151.95,-0.0726,1.0092,49.39,1,SAFE
MILK_00087,short_excursion,2026-02-25T18:00:00,18,2,0,226,late,4.05,4.33,2.54,17.53,1.88,4.05,4.33,4.23,0.3261,6,6,2.65,1,6,982.33,0.0341,1.0752,93.01,1,SAFE
MILK_00088,long_excursion,2026-04-26T17:00:00,17,6,1,48,fresh,4.45,6.81,2.99,22.89,5.59,4.45,4.07,3.98,0.6447,10,10,20.83,1,10,333.8,0.2962,1.7819,250.47,1,SAFE
MILK_00089,moderate_abuse,2026-06-02T07:00:00,7,1,0,343,late,11.56,10.07,4.22,14.18,1.48,11.56,10.57,10.12,1.2687,342,315,91.84,28,63,3465.26,0.1046,1.9802,0.0,0,UNSAFE
MILK_00090,ideal_cold,2026-03-04T14:00:00,14,2,0,57,fresh,3.81,4.03,3.19,5.18,0.4,3.81,3.88,3.95,0.1939,0,0,0.0,0,0,233.81,-0.0885,1.0221,277.74,1,SAFE
MILK_00091,short_excursion,2026-05-14T17:00:00,17,3,0,218,mid,4.5,4.18,2.55,17.48,1.54,4.5,4.44,4.25,0.3342,4,4,1.83,1,4,916.07,0.0722,1.0474,107.67,1,SAFE
MILK_00092,ideal_cold,2026-02-14T04:00:00,4,5,1,40,fresh,3.95,3.95,2.84,5.05,0.5,3.95,3.46,3.88,0.6068,0,0,0.0,0,0,162.1,-0.0645,1.0213,295.15,1,SAFE
MILK_00093,severe_abuse,2026-04-10T19:00:00,19,4,0,11,fresh,12.19,13.72,10.76,16.25,1.55,12.19,12.24,13.12,1.6844,12,12,109.09,1,12,164.7,-0.6212,3.2212,300.57,0,UNSAFE
MILK_00094,short_excursion,2026-03-25T15:00:00,15,2,0,242,late,3.92,4.36,2.4,18.06,2.05,3.92,4.05,4.11,0.266,8,8,3.31,1,8,1059.83,-0.0815,1.0849,73.44,1,SAFE
MILK_00095,severe_abuse,2026-07-02T04:00:00,4,3,0,294,late,12.92,13.95,7.63,19.83,2.46,12.92,14.84,14.5,1.4981,295,292,99.32,4,244,4115.21,-0.0419,3.104,0.0,0,UNSAFE
MILK_00096,long_excursion,2026-02-20T01:00:00,1,4,0,259,late,3.16,4.71,2.53,23.57,3.14,3.16,3.55,3.95,0.5923,13,13,5.02,1,13,1224.94,-0.1787,1.2027,24.49,1,SAFE
MILK_00097,long_excursion,2026-05-31T14:00:00,14,6,1,39,mid,4.68,9.9,2.61,23.81,6.93,4.68,4.47,4.24,0.5639,17,17,43.59,1,17,396.07,0.2155,2.6518,232.58,1,SAFE
MILK_00098,long_excursion,2026-04-07T09:00:00,9,1,0,392,late,4.49,4.35,2.55,21.53,2.22,4.49,4.31,4.08,0.2636,9,9,2.3,1,9,1708.12,0.1889,1.0967,0.0,1,SAFE
MILK_00099,good_cold,2026-05-20T06:00:00,6,2,0,254,late,5.77,4.52,1.81,8.83,1.18,5.77,5.41,5.41,1.0427,28,1,0.39,1,1,1152.29,-0.0765,1.0718,63.76,0,UNSAFE
MILK_00100,good_cold,2026-01-19T10:00:00,10,0,0,90,fresh,4.78,4.39,1.75,6.73,1.08,4.78,5.19,4.88,0.746,7,0,0.0,0,0,399.25,0.3147,1.0625,240.38,1,SAFE
MILK_00101,ideal_cold,2026-02-19T05:00:00,5,3,0,51,fresh,3.94,3.95,3.22,4.92,0.37,3.94,3.58,3.94,0.4248,0,0,0.0,0,0,205.26,-0.1632,1.0146,284.26,1,SAFE
MILK_00102,severe_abuse,2026-01-31T23:00:00,23,5,1,314,late,13.36,13.99,7.08,20.73,2.48,13.36,13.68,13.81,1.9382,315,312,99.36,4,116,4405.86,-0.0994,3.1188,0.0,0,UNSAFE
MILK_00103,short_excursion,2026-04-19T13:00:00,13,6,1,130,mid,4.48,4.45,2.79,16.47,2.51,4.48,4.12,3.81,0.4929,7,7,5.38,1,7,582.7,0.327,1.1186,190.59,1,SAFE
MILK_00104,long_excursion,2026-06-14T19:00:00,19,6,1,306,late,3.67,4.84,2.83,24.31,3.37,3.67,4.02,4.21,0.4986,18,18,5.88,1,18,1485.44,-0.3203,1.2337,0.0,1,SAFE
MILK_00105,moderate_abuse,2026-06-28T02:00:00,2,6,1,224,late,10.33,9.86,5.68,13.59,1.54,10.33,10.28,10.57,1.6574,222,200,89.29,24,21,2217.69,0.1355,1.9389,0.0,0,UNSAFE
MILK_00106,chronic_mild_abuse,2026-05-26T21:00:00,21,1,0,299,late,7.3,7.03,4.89,9.25,0.81,7.3,7.45,6.7,0.9151,267,37,12.37,30,3,2108.63,0.282,1.405,0.0,0,UNSAFE
MILK_00107,good_cold,2026-02-28T20:00:00,20,5,1,143,mid,2.98,4.52,1.39,8.1,1.3,2.98,3.08,3.52,0.9964,18,2,1.4,2,1,650.74,-0.5624,1.077,181.99,1,SAFE
MILK_00108,short_excursion,2026-04-06T23:00:00,23,0,0,376,late,4.57,4.16,2.46,19.08,1.38,4.57,4.32,4.15,0.3071,5,5,1.33,1,5,1566.85,0.1009,1.0382,0.0,1,SAFE
MILK_00109,moderate_abuse,2026-06-25T01:00:00,1,3,0,77,mid,11.2,9.98,6.92,13.21,1.36,11.2,10.34,10.14,1.3176,78,73,94.81,6,31,778.13,0.0102,1.9753,183.9,0,UNSAFE
MILK_00110,good_cold,2026-05-05T05:00:00,5,1,0,163,mid,4.27,4.54,1.03,8.24,1.03,4.27,3.93,4.24,0.624,10,1,0.61,1,1,743.75,-0.2688,1.074,160.94,1,SAFE
MILK_00111,ideal_cold,2026-02-04T10:00:00,10,2,0,394,late,3.4,4.0,3.1,5.22,0.38,3.4,4.03,4.07,0.403,0,0,0.0,0,0,1579.93,-0.1451,1.0034,0.0,1,SAFE
MILK_00112,good_cold,2026-06-19T22:00:00,22,4,0,244,late,1.91,4.5,1.09,7.85,1.17,1.91,3.49,3.71,1.0602,27,0,0.0,0,0,1102.77,-0.1861,1.0697,74.99,1,SAFE
MILK_00113,variable_chain,2026-01-22T06:00:00,6,3,0,61,fresh,6.79,5.6,0.65,10.34,2.28,6.79,6.14,6.46,1.5381,26,8,13.11,7,2,347.43,0.2349,1.2501,259.74,1,SAFE
MILK_00114,good_cold,2026-05-15T07:00:00,7,4,0,119,mid,6.26,4.45,1.64,8.71,1.12,6.26,5.07,4.4,1.3498,8,1,0.84,1,1,533.95,0.3726,1.0676,208.96,1,SAFE
MILK_00115,chronic_mild_abuse,2026-04-03T07:00:00,7,4,0,77,mid,7.15,6.93,5.52,8.96,0.68,7.15,7.02,7.0,0.4327,72,3,3.9,3,1,540.8,-0.0562,1.4021,228.04,1,SAFE
MILK_00116,variable_chain,2026-04-11T00:00:00,0,5,1,135,mid,7.47,5.51,0.5,11.37,2.46,7.47,6.59,5.47,1.2436,54,20,14.81,19,2,748.88,0.8143,1.2331,169.53,1,SAFE
MILK_00117,short_excursion,2026-04-27T11:00:00,11,0,0,90,mid,3.26,5.04,3.13,19.13,3.37,3.26,3.57,3.79,0.3919,8,8,8.89,1,8,458.73,-0.0969,1.2534,223.19,1,SAFE
MILK_00118,good_cold,2026-07-01T03:00:00,3,2,0,323,late,5.06,4.43,0.96,7.97,1.22,5.06,3.54,3.58,1.1084,33,0,0.0,0,0,1435.6,0.4202,1.0612,0.0,0,UNSAFE
MILK_00119,ideal_cold,2026-06-21T07:00:00,7,6,1,14,fresh,4.38,3.95,3.51,4.38,0.26,4.38,4.33,4.18,0.1634,0,0,0.0,0,0,59.27,0.0971,1.0661,321.07,1,SAFE
