milk_id,timestamp,storage_hours,current_temperature_c,avg_temperature_c,min_temperature_c,max_temperature_c,temperature_std_c,time_above_6c_hours,time_above_8c_hours,num_temperature_excursions,longest_excursion_hours,cumulative_temperature_exposure,temperature_trend,remaining_shelf_life_hours,safety_status
MILK_00013,2026-08-16T22:00:00,75,5.23,4.35,3.48,5.6,0.98,0,0,0,0,326.06,0.3969,26.54,CAUTION
MILK_00014,2026-08-17T01:00:00,16,7.99,4.75,2.56,8.11,0.63,13,12,2,2,75.94,0.6334,114.88,UNSAFE
MILK_00015,2026-08-16T12:00:00,140,5.5,4.81,3.27,6.04,1.68,40,0,3,10,673.47,0.9517,0.0,UNSAFE
MILK_00016,2026-08-27T21:00:00,151,4.74,4.27,2.42,5.47,1.07,0,0,0,0,644.46,1.1633,0.0,UNSAFE
MILK_00017,2026-08-29T01:00:00,132,5.2,4.76,2.8,6.14,0.49,50,0,3,11,628.55,0.1462,0.0,UNSAFE
MILK_00018,2026-08-08T02:00:00,55,5.33,5.61,4.26,5.99,1.32,0,0,0,0,308.45,0.409,25.01,CAUTION
MILK_00019,2026-08-18T16:00:00,164,3.49,3.42,2.74,4.01,1.28,0,0,0,0,561.62,-0.9143,0.0,UNSAFE
MILK_00020,2026-08-09T10:00:00,5,4.44,4.85,2.97,5.39,1.89,0,0,0,0,24.24,1.3592,121.02,CAUTION
MILK_00021,2026-08-17T13:00:00,96,22.23,19.83,17.03,22.61,0.51,67,7,3,38,1904.08,0.1704,0.0,UNSAFE
MILK_00022,2026-08-30T16:00:00,24,3.4,3.64,2.9,4.71,1.43,0,0,0,0,87.27,-0.6105,68.15,SAFE
MILK_00023,2026-08-08T16:00:00,103,0.52,0.65,0.48,1.02,2.01,0,0,0,0,66.44,1.17,0.0,UNSAFE
MILK_00024,2026-08-12T06:00:00,16,4.17,3.87,2.94,4.71,2.16,0,0,0,0,61.87,-0.7492,57.86,CAUTION
MILK_00025,2026-08-10T02:00:00,90,3.23,3.0,2.49,4.45,0.22,0,0,0,0,270.32,0.0941,7.95,SAFE
MILK_00026,2026-08-20T02:00:00,122,23.55,19.94,17.13,25.14,1.89,14,9,1,6,2432.4,-0.7474,0.0,UNSAFE
MILK_00027,2026-08-28T10:00:00,74,0.81,0.49,-0.18,1.9,1.87,0,0,0,0,36.46,0.1631,75.36,SAFE
MILK_00028,2026-08-13T14:00:00,42,3.0,2.52,2.37,2.78,0.85,0,0,0,0,105.64,1.4385,86.42,SAFE
MILK_00029,2026-08-01T12:00:00,128,8.14,5.86,4.76,10.09,1.62,27,23,3,14,749.91,-1.3641,0.0,UNSAFE
MILK_00030,2026-08-05T21:00:00,12,4.15,4.03,2.67,5.09,1.48,0,0,0,0,48.35,-1.1145,98.67,CAUTION
MILK_00031,2026-08-25T14:00:00,105,9.94,4.83,3.4,10.77,0.14,49,41,1,16,506.81,-1.2167,0.0,UNSAFE
MILK_00032,2026-08-25T10:00:00,48,2.8,2.93,2.17,4.26,2.42,0,0,0,0,140.55,0.1439,92.33,SAFE
MILK_00033,2026-08-18T01:00:00,97,4.34,3.72,1.92,4.92,2.16,0,0,0,0,360.61,-0.213,11.04,CAUTION
MILK_00034,2026-08-23T15:00:00,18,23.52,22.96,18.27,24.16,0.23,15,10,2,14,413.26,1.3756,0.0,UNSAFE
MILK_00035,2026-08-15T18:00:00,14,2.49,2.54,1.59,2.94,2.0,0,0,0,0,35.58,-1.2264,81.73,SAFE
MILK_00036,2026-08-02T17:00:00,92,3.43,3.28,3.05,3.54,2.11,0,0,0,0,301.79,1.1006,20.25,SAFE
MILK_00037,2026-08-13T18:00:00,38,3.44,3.09,2.78,3.91,1.0,0,0,0,0,117.41,-0.3881,73.01,SAFE
MILK_00038,2026-08-29T10:00:00,165,8.32,4.33,2.22,10.65,0.7,31,18,2,13,715.11,-0.5092,0.0,UNSAFE
MILK_00039,2026-08-24T00:00:00,138,5.39,4.75,3.53,5.79,2.18,0,0,0,0,655.53,-0.8292,26.34,CAUTION
MILK_00040,2026-08-01T08:00:00,162,3.44,3.47,3.3,4.96,1.77,0,0,0,0,561.89,-1.2737,0.0,UNSAFE
MILK_00041,2026-08-07T12:00:00,50,24.09,20.31,15.56,25.56,2.38,23,5,3,7,1015.26,1.1708,0.0,UNSAFE
MILK_00042,2026-08-11T14:00:00,98,3.72,4.2,3.62,5.28,1.09,0,0,0,0,411.77,0.3083,34.36,SAFE
MILK_00043,2026-08-04T23:00:00,13,23.25,21.49,19.24,25.09,2.18,1,1,2,1,279.33,-1.3643,0.0,UNSAFE
MILK_00044,2026-08-18T19:00:00,64,24.53,23.03,19.79,25.46,0.13,44,40,3,33,1473.92,-1.2739,0.0,UNSAFE
MILK_00045,2026-08-22T18:00:00,127,1.3,1.0,0.65,1.45,0.65,0,0,0,0,127.08,0.5151,0.0,UNSAFE
MILK_00046,2026-08-11T17:00:00,19,5.09,5.25,3.47,5.61,2.42,0,0,0,0,99.69,-1.2348,81.1,CAUTION
MILK_00047,2026-08-18T16:00:00,81,3.09,3.23,2.32,4.46,0.13,0,0,0,0,261.53,-0.4482,19.32,SAFE
MILK_00048,2026-08-12T18:00:00,74,23.04,21.08,17.89,24.61,1.36,57,44,2,48,1560.21,0.5929,0.0,UNSAFE
MILK_00049,2026-08-02T09:00:00,104,1.19,1.27,0.69,1.85,0.41,0,0,0,0,132.06,-1.0443,22.66,SAFE
MILK_00050,2026-08-20T05:00:00,31,3.46,3.43,3.18,4.47,0.64,0,0,0,0,106.43,0.9654,57.56,SAFE
MILK_00051,2026-08-11T10:00:00,6,2.26,2.12,1.9,3.47,1.76,0,0,0,0,12.72,-1.3821,104.37,SAFE
MILK_00052,2026-08-19T20:00:00,14,11.53,4.24,1.63,12.36,1.53,7,5,4,2,59.42,1.4588,128.56,UNSAFE
MILK_00053,2026-08-22T14:00:00,11,0.94,1.13,0.35,2.41,0.36,0,0,0,0,12.39,-0.1578,86.57,SAFE
MILK_00054,2026-08-08T06:00:00,45,0.57,0.39,-0.01,0.78,0.66,0,0,0,0,17.47,-0.4712,49.75,SAFE
MILK_00055,2026-08-11T15:00:00,109,2.43,2.66,2.04,3.55,0.41,0,0,0,0,290.45,-0.6487,0.0,UNSAFE
MILK_00056,2026-08-20T09:00:00,96,3.76,3.86,3.67,4.29,0.98,0,0,0,0,370.68,-0.0366,16.84,SAFE
MILK_00057,2026-08-03T15:00:00,135,3.28,2.83,2.1,2.96,0.37,0,0,0,0,382.22,-0.3064,0.0,UNSAFE
MILK_00058,2026-08-26T23:00:00,137,1.06,1.23,0.63,2.63,1.24,0,0,0,0,168.86,1.0157,0.0,UNSAFE
MILK_00059,2026-08-30T00:00:00,119,2.93,2.96,2.17,4.05,1.49,0,0,0,0,352.18,-1.0369,0.0,UNSAFE
MILK_00060,2026-08-16T23:00:00,9,0.94,0.51,0.12,1.99,0.31,0,0,0,0,4.56,-1.0835,63.13,SAFE
MILK_00061,2026-08-04T12:00:00,80,5.61,4.77,3.15,6.46,0.4,67,0,1,5,381.54,0.6926,25.68,CAUTION
MILK_00062,2026-08-18T05:00:00,141,3.12,2.83,2.58,3.16,0.67,0,0,0,0,398.47,0.4013,22.58,SAFE
MILK_00063,2026-08-10T11:00:00,99,4.96,5.03,3.59,5.86,1.89,0,0,0,0,497.91,0.0082,29.23,CAUTION
MILK_00064,2026-08-27T23:00:00,65,3.49,3.62,2.67,3.88,1.85,0,0,0,0,235.01,0.5812,63.0,SAFE
MILK_00065,2026-08-27T08:00:00,83,5.19,5.69,4.13,5.94,1.89,0,0,0,0,471.9,-1.3994,55.07,CAUTION
MILK_00066,2026-08-23T20:00:00,147,3.21,2.82,2.61,4.11,1.31,0,0,0,0,414.65,0.1196,0.0,UNSAFE
MILK_00067,2026-08-13T06:00:00,129,2.47,2.54,1.9,3.64,0.54,0,0,0,0,327.71,1.2254,0.0,UNSAFE
MILK_00068,2026-08-13T00:00:00,78,22.46,21.52,17.68,23.47,1.84,8,1,4,6,1678.36,0.2789,0.0,UNSAFE
MILK_00069,2026-08-24T03:00:00,63,0.76,0.36,-0.56,1.64,0.37,0,0,0,0,22.64,1.4545,97.27,SAFE
MILK_00070,2026-08-04T17:00:00,154,9.16,6.37,5.26,10.36,0.59,43,37,1,18,980.23,0.8634,8.28,UNSAFE
MILK_00071,2026-08-14T23:00:00,81,23.76,18.2,15.45,25.59,1.3,65,41,2,38,1473.96,-0.2432,0.0,UNSAFE
MILK_00072,2026-08-20T21:00:00,30,22.45,20.49,15.5,22.62,0.82,12,4,2,9,614.63,-0.5702,0.0,UNSAFE
MILK_00073,2026-08-19T17:00:00,64,9.57,5.18,3.12,11.71,1.16,36,31,1,7,331.28,-0.2977,47.91,UNSAFE
MILK_00074,2026-08-12T04:00:00,46,4.88,3.91,2.34,5.03,1.08,0,0,0,0,180.08,0.1552,86.19,CAUTION
MILK_00075,2026-08-06T21:00:00,85,4.74,4.6,3.26,5.63,0.34,0,0,0,0,390.9,-0.7705,20.5,CAUTION
MILK_00076,2026-08-26T16:00:00,139,2.7,2.41,1.5,2.92,1.62,0,0,0,0,334.94,0.7077,21.71,SAFE
MILK_00077,2026-08-04T16:00:00,147,5.44,5.8,4.8,6.06,1.01,20,0,3,8,853.1,0.2709,0.0,UNSAFE
MILK_00078,2026-08-14T02:00:00,50,24.29,18.84,15.38,26.03,1.23,24,17,3,18,942.03,-0.9537,0.0,UNSAFE
MILK_00079,2026-08-07T12:00:00,108,0.94,1.34,0.62,2.4,2.29,0,0,0,0,144.41,-1.1467,0.0,UNSAFE
MILK_00080,2026-08-09T05:00:00,93,5.68,4.99,4.28,5.69,0.74,0,0,0,0,463.71,0.6966,35.63,CAUTION
MILK_00081,2026-08-19T23:00:00,83,5.69,5.3,4.17,6.46,0.5,6,0,3,2,439.81,0.7141,6.82,CAUTION
MILK_00082,2026-08-09T15:00:00,60,4.66,4.51,3.02,5.14,0.42,0,0,0,0,270.85,-0.0487,23.8,CAUTION
MILK_00083,2026-08-17T04:00:00,28,11.09,7.82,5.57,11.56,0.36,20,9,2,14,218.99,-1.2746,39.22,UNSAFE
MILK_00084,2026-08-25T13:00:00,134,4.62,4.5,3.87,4.98,2.41,0,0,0,0,603.32,0.87,18.28,CAUTION
MILK_00085,2026-08-16T15:00:00,15,24.28,21.83,17.66,25.79,2.14,7,6,1,6,327.51,-0.751,0.0,UNSAFE
MILK_00086,2026-08-22T04:00:00,155,2.37,2.79,2.06,2.94,0.56,0,0,0,0,432.4,-1.1542,0.0,UNSAFE
MILK_00087,2026-08-24T20:00:00,125,2.0,2.02,1.34,3.03,0.65,0,0,0,0,253.05,-1.1383,0.0,UNSAFE
MILK_00088,2026-08-21T21:00:00,57,4.22,3.7,2.01,4.76,1.87,0,0,0,0,210.74,0.0605,83.49,CAUTION
MILK_00089,2026-08-27T07:00:00,70,3.77,3.27,2.82,3.63,2.02,0,0,0,0,228.79,1.4938,18.83,SAFE
MILK_00090,2026-08-24T00:00:00,68,2.57,2.94,2.15,4.42,0.91,0,0,0,0,200.22,0.0676,87.15,SAFE
MILK_00091,2026-08-01T02:00:00,79,3.31,3.53,3.18,4.45,2.47,0,0,0,0,278.86,-0.2167,59.45,SAFE
MILK_00092,2026-08-21T09:00:00,37,24.36,18.54,13.9,25.19,1.54,36,15,3,3,685.85,1.2112,0.0,UNSAFE
MILK_00093,2026-08-07T22:00:00,139,0.65,0.54,-0.42,0.69,0.94,0,0,0,0,74.92,-1.3265,0.0,UNSAFE
MILK_00094,2026-08-27T12:00:00,155,22.52,20.38,16.29,24.04,2.25,45,40,3,2,3158.51,-0.1099,0.0,UNSAFE
MILK_00095,2026-08-14T17:00:00,66,2.07,1.62,1.49,2.91,1.67,0,0,0,0,106.75,0.1526,58.18,SAFE
MILK_00096,2026-08-13T06:00:00,63,2.89,2.88,2.58,3.1,2.25,0,0,0,0,181.64,1.4744,59.95,SAFE
MILK_00097,2026-08-27T11:00:00,87,23.71,21.97,17.38,24.8,2.21,47,33,4,40,1911.62,0.8923,0.0,UNSAFE
MILK_00098,2026-08-21T22:00:00,114,5.53,4.77,2.96,6.41,2.21,59,0,1,53,543.56,-1.4846,5.64,CAUTION
MILK_00099,2026-08-17T16:00:00,127,1.14,0.72,0.12,1.28,0.72,0,0,0,0,91.62,0.402,0.0,UNSAFE
MILK_00100,2026-08-24T09:00:00,18,9.29,7.85,5.59,10.32,1.91,3,1,4,2,141.34,0.8664,63.75,UNSAFE
MILK_00101,2026-08-22T06:00:00,80,0.75,1.1,0.39,2.59,1.9,0,0,0,0,87.91,-1.1097,28.4,SAFE
MILK_00102,2026-08-01T17:00:00,4,2.11,2.38,1.88,3.44,1.22,0,0,0,0,9.53,1.3329,72.91,SAFE
MILK_00103,2026-08-26T15:00:00,89,7.86,7.36,5.9,10.18,0.76,11,5,2,10,655.02,1.3526,45.19,UNSAFE
MILK_00104,2026-08-12T22:00:00,46,23.23,23.36,20.73,23.69,2.18,26,4,2,14,1074.77,0.6448,0.0,UNSAFE
MILK_00105,2026-08-03T17:00:00,26,2.25,1.77,1.4,2.98,2.31,0,0,0,0,45.97,0.35,84.23,SAFE
MILK_00106,2026-08-15T10:00:00,20,2.76,2.69,2.15,3.07,1.66,0,0,0,0,53.85,-0.5222,128.33,SAFE
MILK_00107,2026-08-13T23:00:00,165,2.03,2.21,1.24,2.87,0.8,0,0,0,0,365.25,0.5849,0.0,UNSAFE
MILK_00108,2026-08-24T09:00:00,7,0.85,0.59,0.36,2.07,1.26,0,0,0,0,4.12,-0.869,81.61,SAFE
MILK_00109,2026-08-24T06:00:00,158,2.26,2.65,1.8,2.86,1.05,0,0,0,0,417.99,-1.1019,0.0,UNSAFE
MILK_00110,2026-08-21T16:00:00,134,1.05,0.66,-0.08,1.65,1.53,0,0,0,0,88.07,0.3498,0.0,UNSAFE
MILK_00111,2026-08-09T23:00:00,157,23.88,22.7,19.25,25.1,2.25,59,31,2,38,3563.98,0.1428,0.0,UNSAFE
MILK_00112,2026-08-03T10:00:00,11,1.03,1.4,0.42,1.81,1.89,0,0,0,0,15.38,1.1155,81.82,SAFE
MILK_00113,2026-08-02T07:00:00,27,2.66,2.49,1.94,3.35,0.58,0,0,0,0,67.18,0.5407,48.47,SAFE
MILK_00114,2026-08-01T22:00:00,44,3.37,3.59,3.11,4.73,1.86,0,0,0,0,158.07,0.8032,52.23,SAFE
MILK_00115,2026-08-17T07:00:00,86,4.16,3.75,2.35,4.76,1.11,0,0,0,0,322.42,-0.6695,14.43,CAUTION
MILK_00116,2026-08-28T08:00:00,36,5.3,5.4,3.83,5.43,1.54,0,0,0,0,194.39,0.3976,47.36,CAUTION
MILK_00117,2026-08-16T09:00:00,69,1.94,1.54,0.91,2.21,0.96,0,0,0,0,106.26,0.2789,58.85,SAFE
MILK_00118,2026-08-12T17:00:00,162,2.67,2.49,2.27,3.68,0.67,0,0,0,0,403.77,-0.796,0.42,SAFE
MILK_00119,2026-08-14T06:00:00,56,2.71,2.35,1.73,3.08,1.8,0,0,0,0,131.87,-0.9989,24.05,SAFE
MILK_00120,2026-08-02T02:00:00,123,5.0,5.27,3.89,5.81,1.44,0,0,0,0,647.97,0.1197,0.0,UNSAFE
MILK_00121,2026-08-30T14:00:00,21,0.67,0.81,0.55,1.23,0.86,0,0,0,0,17.02,0.0217,101.0,SAFE
MILK_00122,2026-08-05T10:00:00,165,22.01,23.71,19.11,23.29,0.71,25,4,3,4,3912.29,0.0652,0.0,UNSAFE
MILK_00123,2026-08-29T04:00:00,123,1.12,1.35,1.04,1.67,0.53,0,0,0,0,166.34,0.5779,37.23,SAFE
MILK_00124,2026-08-29T08:00:00,115,2.54,2.91,2.78,3.81,2.01,0,0,0,0,334.4,1.256,0.0,UNSAFE
MILK_00125,2026-08-29T05:00:00,139,5.2,4.72,3.31,5.36,2.45,0,0,0,0,656.01,-0.2793,21.33,CAUTION
MILK_00126,2026-08-24T11:00:00,95,5.77,5.38,3.87,6.1,2.26,23,0,4,9,510.66,1.1337,0.0,UNSAFE
MILK_00127,2026-08-20T11:00:00,55,5.26,5.1,3.78,5.64,0.67,0,0,0,0,280.71,-0.3802,68.55,CAUTION
MILK_00128,2026-08-03T04:00:00,101,5.28,4.97,3.18,5.66,2.13,0,0,0,0,502.2,1.2427,9.2,CAUTION
MILK_00129,2026-08-04T06:00:00,25,1.31,1.29,0.69,1.94,1.82,0,0,0,0,32.22,1.3666,47.88,SAFE
MILK_00130,2026-08-06T20:00:00,2,5.81,5.17,4.58,6.73,1.25,1,0,3,1,10.34,-0.9163,134.76,CAUTION
MILK_00131,2026-08-28T21:00:00,89,4.27,4.35,2.38,4.67,0.39,0,0,0,0,386.86,-0.9566,15.2,CAUTION
MILK_00132,2026-08-06T10:00:00,88,4.3,4.15,2.21,4.56,0.31,0,0,0,0,365.56,0.9472,1.9,CAUTION
MILK_00133,2026-08-16T19:00:00,19,2.61,2.62,1.81,3.55,1.57,0,0,0,0,49.79,-0.2669,141.31,SAFE
MILK_00134,2026-08-28T00:00:00,60,3.08,2.85,2.37,4.1,2.04,0,0,0,0,171.03,0.8,19.19,SAFE
MILK_00135,2026-08-13T17:00:00,26,3.37,3.34,3.08,4.19,1.64,0,0,0,0,86.88,0.3213,120.24,SAFE
MILK_00136,2026-08-07T23:00:00,66,5.04,5.53,3.98,5.18,1.16,0,0,0,0,364.69,-0.1626,77.1,CAUTION
MILK_00137,2026-08-01T11:00:00,57,9.66,5.35,2.8,12.38,0.31,11,4,2,3,304.89,1.1826,16.18,UNSAFE
MILK_00138,2026-08-16T13:00:00,12,7.48,6.16,3.86,10.12,0.65,3,1,1,1,73.92,-0.1294,88.28,UNSAFE
MILK_00139,2026-08-14T09:00:00,56,4.27,4.71,3.08,4.9,1.39,0,0,0,0,263.82,-1.21,80.17,CAUTION
MILK_00140,2026-08-23T16:00:00,59,5.61,6.0,4.9,5.85,0.15,0,0,0,0,354.13,0.7115,41.46,CAUTION
MILK_00141,2026-08-08T07:00:00,113,1.35,1.64,0.99,2.95,1.98,0,0,0,0,184.89,0.6262,0.0,UNSAFE
MILK_00142,2026-08-10T02:00:00,44,0.79,1.23,0.85,2.1,0.77,0,0,0,0,53.95,1.3272,69.92,SAFE
MILK_00143,2026-08-05T20:00:00,132,5.18,4.76,3.67,5.68,2.06,0,0,0,0,628.72,-0.3581,0.0,UNSAFE
MILK_00144,2026-08-27T01:00:00,135,7.9,4.32,2.98,9.11,0.64,41,20,4,24,583.7,1.372,0.0,UNSAFE
MILK_00145,2026-08-19T04:00:00,24,10.99,5.27,2.62,13.85,0.98,1,1,1,1,126.48,-1.2955,126.59,UNSAFE
MILK_00146,2026-08-13T23:00:00,53,1.95,1.56,1.26,2.55,1.55,0,0,0,0,82.47,-0.4056,37.55,SAFE
MILK_00147,2026-08-17T22:00:00,33,2.1,2.35,1.99,3.32,0.67,0,0,0,0,77.66,-1.0733,92.83,SAFE
MILK_00148,2026-08-10T02:00:00,17,4.22,3.98,2.26,5.22,0.63,0,0,0,0,67.7,-0.9787,134.47,CAUTION
MILK_00149,2026-08-26T10:00:00,121,8.49,6.62,4.57,9.55,2.09,55,26,1,23,800.57,0.7008,0.0,UNSAFE
MILK_00150,2026-08-08T19:00:00,127,2.27,1.98,1.66,2.1,0.58,0,0,0,0,251.68,-1.3061,0.0,UNSAFE
MILK_00151,2026-08-12T03:00:00,45,5.05,4.45,3.76,5.2,0.88,0,0,0,0,200.15,0.7121,47.83,CAUTION
MILK_00152,2026-08-12T06:00:00,66,3.09,3.48,2.67,4.92,2.36,0,0,0,0,229.85,0.9267,57.67,SAFE
MILK_00153,2026-08-09T09:00:00,156,3.08,3.4,2.96,4.2,1.63,0,0,0,0,530.87,0.3418,0.0,UNSAFE
MILK_00154,2026-08-16T13:00:00,26,5.07,5.09,4.47,5.11,1.68,0,0,0,0,132.43,0.9064,89.54,CAUTION
MILK_00155,2026-08-02T01:00:00,85,2.02,2.52,1.57,3.98,0.54,0,0,0,0,213.86,-0.9777,39.72,SAFE
MILK_00156,2026-08-20T19:00:00,128,0.57,0.15,-0.21,1.61,0.65,0,0,0,0,19.37,1.428,0.0,UNSAFE
MILK_00157,2026-08-01T07:00:00,43,0.73,1.19,0.28,1.96,2.02,0,0,0,0,51.1,-0.6215,76.04,SAFE
MILK_00158,2026-08-19T01:00:00,98,5.64,5.63,4.62,5.77,1.54,0,0,0,0,551.45,-1.215,0.0,UNSAFE
MILK_00159,2026-08-17T12:00:00,65,1.4,1.83,1.29,2.88,1.65,0,0,0,0,119.07,-0.6423,94.17,SAFE
MILK_00160,2026-08-26T20:00:00,142,22.76,22.53,18.0,23.68,1.44,4,1,2,3,3199.3,-0.9582,0.0,UNSAFE
MILK_00161,2026-08-22T20:00:00,19,4.27,4.72,4.0,4.76,1.86,0,0,0,0,89.72,0.1267,76.08,CAUTION
MILK_00162,2026-08-16T06:00:00,50,5.41,5.72,4.08,6.05,0.49,40,0,3,35,285.94,0.1741,71.1,CAUTION
MILK_00163,2026-08-06T19:00:00,147,4.69,4.8,3.38,5.51,0.95,0,0,0,0,706.23,0.8514,0.0,UNSAFE
MILK_00164,2026-08-01T03:00:00,128,2.96,2.66,2.23,4.1,1.92,0,0,0,0,340.92,1.0259,14.58,SAFE
MILK_00165,2026-08-16T01:00:00,21,2.62,2.9,2.68,3.31,1.09,0,0,0,0,60.97,0.5869,51.15,SAFE
MILK_00166,2026-08-19T14:00:00,60,6.65,6.35,4.07,8.09,0.35,42,25,1,20,381.17,-0.8237,32.91,UNSAFE
MILK_00167,2026-08-01T16:00:00,54,4.38,4.43,2.45,5.13,1.99,0,0,0,0,239.02,0.0518,83.76,CAUTION
MILK_00168,2026-08-05T10:00:00,55,0.79,0.51,-0.25,1.45,1.86,0,0,0,0,28.21,-0.6017,73.33,SAFE
MILK_00169,2026-08-20T03:00:00,83,2.76,3.25,2.49,4.4,1.51,0,0,0,0,270.13,-0.9466,6.39,SAFE
MILK_00170,2026-08-11T00:00:00,5,3.24,3.02,2.65,3.84,0.23,0,0,0,0,15.09,1.0582,125.83,SAFE
MILK_00171,2026-08-12T07:00:00,78,1.94,2.37,1.71,3.46,1.85,0,0,0,0,185.13,-0.0106,14.97,SAFE
MILK_00172,2026-08-22T21:00:00,128,2.51,2.15,1.46,3.3,0.13,0,0,0,0,275.08,-0.6518,0.0,UNSAFE
MILK_00173,2026-08-02T02:00:00,47,3.1,3.57,3.09,4.19,1.96,0,0,0,0,167.9,-1.3039,96.4,SAFE
MILK_00174,2026-08-02T00:00:00,11,22.42,21.19,18.15,23.24,0.67,6,2,1,5,233.14,0.6973,0.0,UNSAFE
MILK_00175,2026-08-24T15:00:00,105,3.73,3.38,3.11,4.49,1.21,0,0,0,0,354.64,1.416,44.21,SAFE
MILK_00176,2026-08-11T11:00:00,20,1.24,0.99,0.39,2.29,2.45,0,0,0,0,19.89,-0.8178,119.39,SAFE
MILK_00177,2026-08-17T06:00:00,133,2.52,2.25,1.76,3.53,2.37,0,0,0,0,299.08,1.0499,19.11,SAFE
MILK_00178,2026-08-14T20:00:00,69,5.14,4.23,2.52,5.65,2.45,0,0,0,0,291.85,0.882,26.3,CAUTION
MILK_00179,2026-08-11T04:00:00,146,3.0,3.26,3.04,3.38,2.21,0,0,0,0,475.51,1.1117,0.0,UNSAFE
MILK_00180,2026-08-14T12:00:00,165,6.26,4.26,1.44,7.65,1.04,27,0,2,11,703.04,0.895,0.0,UNSAFE
MILK_00181,2026-08-14T05:00:00,33,0.81,0.67,0.32,1.83,2.01,0,0,0,0,22.01,-0.3121,82.92,SAFE
MILK_00182,2026-08-16T23:00:00,27,5.61,5.08,3.22,6.46,0.51,16,0,1,6,137.22,0.0212,72.54,CAUTION
MILK_00183,2026-08-25T14:00:00,53,11.81,7.43,4.95,12.16,2.42,52,9,3,33,393.66,-0.2467,79.65,UNSAFE
MILK_00184,2026-08-13T19:00:00,28,2.35,2.37,1.47,3.48,1.01,0,0,0,0,66.49,1.4204,60.17,SAFE
MILK_00185,2026-08-09T21:00:00,154,3.01,3.49,2.81,4.86,0.96,0,0,0,0,538.18,-0.0174,5.76,SAFE
MILK_00186,2026-08-11T01:00:00,30,5.67,4.82,4.11,5.91,1.88,0,0,0,0,144.61,-0.9262,110.74,CAUTION
MILK_00187,2026-08-14T01:00:00,97,5.63,5.9,5.35,5.89,1.72,0,0,0,0,572.05,-0.5247,46.95,CAUTION
MILK_00188,2026-08-03T02:00:00,30,7.44,7.35,5.06,8.28,2.18,11,5,1,8,220.44,-0.8534,57.57,UNSAFE
MILK_00189,2026-08-28T02:00:00,39,6.45,7.6,4.85,8.4,1.45,17,9,2,14,296.22,-1.167,71.2,UNSAFE
MILK_00190,2026-08-30T07:00:00,19,0.64,0.88,0.53,2.26,1.8,0,0,0,0,16.69,1.4183,92.65,SAFE
MILK_00191,2026-08-21T23:00:00,141,23.86,21.36,17.76,25.12,2.19,50,12,3,5,3011.07,-1.1623,0.0,UNSAFE
MILK_00192,2026-08-15T01:00:00,51,4.66,4.11,3.54,5.41,2.21,0,0,0,0,209.85,1.1318,36.47,CAUTION
MILK_00193,2026-08-11T05:00:00,166,5.11,5.37,4.22,5.39,2.49,0,0,0,0,890.88,1.0671,0.0,UNSAFE
MILK_00194,2026-08-02T21:00:00,139,4.32,3.46,1.96,5.23,0.26,0,0,0,0,480.82,1.3675,0.0,UNSAFE
MILK_00195,2026-08-21T20:00:00,14,23.39,18.83,16.33,24.07,1.56,8,4,3,2,263.55,0.3939,0.0,UNSAFE
MILK_00196,2026-08-12T12:00:00,82,5.91,5.81,4.55,6.65,1.08,1,0,1,1,476.17,1.1744,69.01,CAUTION
